"부채보유 여부별","소득5분위별","자산5분위별","자산, 부채, 소득 분류별",2023,2024,2025
"부채 보유","소득1분위","자산2분위","가구원수 (명)",1.5,1.4,1.3
"부채 보유","소득1분위","자산2분위","가구주 연령 (세)",58.1,57.7,58.0
"부채 보유","소득1분위","자산2분위","경상소득(전년도) (만원)",1543,1709,1651
"부채 보유","소득1분위","자산2분위","자산 (만원)",13554,13372,13539
"부채 보유","소득1분위","자산2분위","부채 (만원)",4083,4099,4058
"부채 보유","소득1분위","자산2분위","원리금상환액(전년도) (만원)",549,975,600
"부채 보유","소득1분위","자산2분위","순자산액 (만원)",9471,9273,9481
"부채 보유","소득1분위","자산3분위","가구분포 (%)",1.1,0.9,0.9
"부채 보유","소득1분위","자산3분위","가구원수 (명)",1.6,1.6,1.5
"부채 보유","소득1분위","자산3분위","가구주 연령 (세)",61.5,63.4,62.6
"부채 보유","소득1분위","자산3분위","경상소득(전년도) (만원)",1576,1770,1651
"부채 보유","소득1분위","자산3분위","자산 (만원)",29834,30432,29904
"부채 보유","소득1분위","자산3분위","부채 (만원)",6691,6853,8090
"부채 보유","소득1분위","자산3분위","원리금상환액(전년도) (만원)",893,644,1000
"부채 보유","소득1분위","자산3분위","순자산액 (만원)",23143,23580,21814
"부채 보유","소득1분위","자산4분위","가구분포 (%)",0.7,0.7,0.7
"부채 보유","소득1분위","자산4분위","가구원수 (명)",1.9,1.7,1.5
"부채 보유","소득1분위","자산4분위","가구주 연령 (세)",64.5,64.5,63.1
"부채 보유","소득1분위","자산4분위","경상소득(전년도) (만원)",1618,1741,1760
"부채 보유","소득1분위","자산4분위","자산 (만원)",54525,57401,57521
"부채 보유","소득1분위","자산4분위","부채 (만원)",9526,11951,11697
"부채 보유","소득1분위","자산4분위","원리금상환액(전년도) (만원)",1167,855,1005
"부채 보유","소득1분위","자산4분위","순자산액 (만원)",44999,45449,45823
"부채 보유","소득1분위","자산5분위","가구분포 (%)",0.5,0.5,0.4
"부채 보유","소득1분위","자산5분위","가구원수 (명)",1.6,1.6,1.6
"부채 보유","소득1분위","자산5분위","가구주 연령 (세)",67.5,68.2,65.1
"부채 보유","소득1분위","자산5분위","경상소득(전년도) (만원)",1675,1735,1796
